GOID,TERM,NUM_LIST_ANNOTATIONS,LIST_SIZE,CLUSTER_FREQUENCY,TOTAL_NUM_ANNOTATIONS,POPULATION_SIZE,GENOME_FREQUENCY,ANNOTATED_GENES,pval,FDR
GO:0005634,nucleus,101,326,30.98%,1532,6484,23.63%,"ACB1, ADR1, AFT1, ARO3, BIR1, BLM10, BNA6, BRR2, CAJ1, CDC25, CLB3, CLN3, CSM3, CYK3, DOT6, ERB1, FIG4, FYV10, FYV6, FZF1, GRR1, HEH2, HIR2, HMF1, HO, HSP104, HUL5, IES3, IPI3, IRC20, ITC1, KAR3, KSP1, KTR3, LOS1, MCM5, MDH2, MDM30, MET30, MEX67, MKT1, MLH3, MOT1, MTR4, NAB2, NAM8, NPL3, NSR1, NUC1, NUG1, OPI1, PBP2, PCL5, PDR1, PHO23, PHO81, PHR1, PKC1, PRI2, PRP8, PTK2, RAD17, RAD26, RBK1, RCO1, REA1, RKM3, RMP1, ROG1, RPI1, RRP6, SET2, SFH5, SFP1, SHP1, SMY2, SNT2, SPO20, SPT2, STE5, STP3, SUB2, SUM1, SWC5, SWT1, SYF2, TAF8, TAH11, TFB1, TOM1, TOP1, TOP2, UGA3, ULS1, UTP21, VID22, VPS74, WAR1, YAP6, YCR059C, YRB2",0.02348187743061371,0.02348187743061371
GO:0005737,cytoplasm,94,326,28.83%,1581,6484,24.38%,"ABP1, ACB1, ADE6, ADR1, AFT1, ALY2, ARO3, ASN1, ATG11, ATG2, BIR1, BNA6, BUL2, CCR4, CDC25, CLB3, CPA1, CSM3, CUE3, CYK3, DBF20, DDR48, DOT6, EBS1, ECM22, FLC2, FYV10, GPB1, GPB2, GPH1, GRR1, HIS4, HMF1, HSP104, HUL5, INP2, KSP1, KTR3, LOS1, LRG1, MCM5, MDH2, MEX67, MKT1, MLF3, MLS1, MRL1, NAB2, NAM8, NPL3, OCA4, OCA5, PBP2, PBS2, PFK26, PHO81, PHR1, PKC1, PPQ1, PRC1, PTK2, PYK2, RAD26, RBK1, RCK2, RIM11, RMP1, ROG1, SAK1, SEC8, SFH5, SFP1, SHP1, SIW14, SMY2, SNF7, SNT2, SPO77, SSE1, SSZ1, STE5, SUB2, SUC2, SWT1, TAH11, TOS3, TPS3, TRL1, UBR2, ULS1, URA2, VPS74, YCR059C, ZDS2",0.16665388811868193,0.16665388811868193
GO:0005739,mitochondrion,63,326,19.33%,1142,6484,17.61%,"ACC1, ALD5, ARO3, BIR1, COQ1, CYT2, DNF1, DOA4, EFR3, ERG9, FAS2, FAU1, FKS3, FMP52, FSF1, GPB2, IDH1, IDP1, ILV2, IMA1, IRC20, ISU1, KGD1, LOS1, LRG1, MAS2, MCT1, MDL2, MDM30, MOT1, MPA43, MRPL36, MSC6, MSS2, NSR1, NUC1, PDA1, PDX1, PET111, PET127, PHR1, PKP1, PMA1, PYK2, QRI7, REA1, RHO1, RTC2, SAP4, SMC2, SPC105, SSQ1, SUC2, SYG1, TAO3, TIM54, TOP2, ULS1, URA2, VPS13, WAR1, YCK1, YHR155W",0.5127606098056616,0.5127606098056616
GO:0016020,membrane,51,326,15.64%,850,6484,13.11%,"ACC1, BNI1, BSD2, CDC25, CNE1, CWH41, ECM22, ERG27, ERG9, FCY2, FIG4, FMP52, FRE6, GSC2, INP2, KTR3, MAM3, MDL2, MYO2, NAR1, NUC1, OPI1, PEP12, PET111, PIB1, PMA1, RCE1, RHO1, RTC2, SEC8, SFH5, SKN1, SMY2, SPO20, SYG1, TCO89, TRL1, UGA4, URA2, USA1, UTH1, VBA1, VCX1, VPS13, VTC1, VTC3, VTC4, YCF1, YKR103W, YML018C, ZRT3",0.24998136714037836,0.24998136714037836
GO:0005773,vacuole,41,326,12.58%,475,6484,7.33%,"BSD2, CCW12, CWH41, ECM14, FCY2, FET4, FIG4, FRE6, GAS4, IRC8, KTR3, MAM3, MDL2, MYO2, PAU10, PDR10, PEP12, PHM7, PHO84, PIB1, PRC1, RHO1, RNY1, RTC2, SFH5, SMF1, SUC2, SYG1, TCO89, UGA4, UIP5, VBA1, VCX1, VTC1, VTC3, VTC4, YCF1, YHC3, YKR103W, YML018C, ZRT3",0.0031363660932856416,0.0031363660932856416
GO:0005783,endoplasmic reticulum,40,326,12.27%,612,6484,9.44%,"ACC1, AGP1, BSD2, CDC25, CNE1, CWH41, DNF1, ERG1, ERG27, ERG9, FKS3, FLC2, FMP52, HXT13, IST2, KRE5, MAM3, MNN9, OPI1, OSH2, PHM7, PHO84, PRC1, RCE1, RHO1, RIM21, SFH5, SMY2, STT3, UBX7, USA1, VTC1, VTC3, VTC4, YCK1, YCT1, YHR155W, YLR372W, ZRT1, ZRT3",0.1289075416832082,0.1289075416832082
GO:0005886,plasma membrane,33,326,10.12%,379,6484,5.85%,"AGP1, BNI1, CAJ1, CDC25, DNF1, EFR3, FCY2, FET4, GPB1, GPB2, HBT1, IST2, KIN1, OSH2, PDR10, PHO84, PKC1, PMA1, PTK2, RHO1, RIM21, SFH5, SMF1, SNF7, SPO20, STE5, SYG1, TRK2, VID22, YCK1, YKL126W, YOR1, ZRT1",0.006748097592277491,0.006748097592277491
GO:0030427,site of polarized growth,28,326,8.59%,272,6484,4.19%,"ABP1, ABP140, ACT1, BNI1, BNI4, CCW12, CYK3, DBF20, DNF1, DSE4, GRR1, GSC2, HSL1, LRG1, MYO2, OSH2, PBS2, PKC1, RHO1, SEC8, SSK2, STE5, TAO3, TUS1, UBP5, VRP1, YKL126W, ZDS2",0.001521622610718764,0.001521622610718764
GO:0005933,cellular bud,27,326,8.28%,249,6484,3.84%,"ACT1, BNI1, BNI4, CCW12, CYK3, DBF20, DNF1, DSE4, GRR1, GSC2, HSL1, IRC8, IST2, LRG1, MYO2, OSH2, PBS2, PKC1, RHO1, SEC8, SSK2, TAO3, TUS1, UBP5, VRP1, YKL126W, ZDS2",6.273032153014461e-4,6.273032153014461e-4
GO:0005730,nucleolus,15,326,4.60%,303,6484,4.67%,"CIC1, ERB1, MTR4, NSR1, NUG1, RMP1, RRB1, RRP5, RRP6, TOM1, TOP1, ULS1, URB1, UTP21, UTP8",1,1
